"OTU","Stress.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Stress.RF.Rank","Enrichment.Stress","ASV.Family"
"ASV106",0.0141666666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",97,"Stress Post","ASV106  ( Ruminococcaceae )"
"ASV154",0.013852380952381,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",98,"Naive Post","ASV154  ( Sutterellaceae )"
"ASV23",0.0136,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",99,"Naive Post","ASV23  ( Ruminococcaceae )"
"ASV198",0.0133095238095238,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,100,"Stress Post","ASV198  ( Lachnospiraceae )"
"ASV328",0.0131142857142857,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,101,"Stress Post","ASV328  ( NA )"
"ASV6",0.013047619047619,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,102,"Naive Post","ASV6  ( Muribaculaceae )"
"ASV95",0.0128333333333333,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,103,"Stress Post","ASV95  ( NA )"
"ASV340",0.0127666666666667,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,104,"Stress Post","ASV340  ( NA )"
"ASV137",0.0126142857142857,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,105,"Naive Post","ASV137  ( Oscillospiraceae )"
"ASV575",0.0123809523809524,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,106,"Naive Post","ASV575  ( Ruminococcaceae )"
"ASV252",0.0118333333333333,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,108,"Naive Post","ASV252  ( NA )"
"ASV284",0.0118333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,108,"Stress Post","ASV284  ( Lachnospiraceae )"
"ASV537",0.0118333333333333,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",108,"Stress Post","ASV537  ( Anaerovoracaceae )"
"ASV196",0.0113333333333333,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,110,"Stress Post","ASV196  ( Oscillospiraceae )"
"ASV350",0.0111666666666667,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,111,"Naive Post","ASV350  ( NA )"
"ASV304",0.0111190476190476,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,112,"Stress Post","ASV304  ( NA )"
"ASV301",0.0108333333333333,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,113,"Stress Post","ASV301  ( Oscillospiraceae )"
"ASV337",0.0105,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,114,"Stress Post","ASV337  ( Oscillospiraceae )"
"ASV13",0.0102857142857143,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",115,"Naive Post","ASV13  ( Lachnospiraceae )"
"ASV312",0.0102,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,116,"Stress Post","ASV312  ( Lachnospiraceae )"
"ASV47",0.0100833333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",117,"Stress Post","ASV47  ( Lachnospiraceae )"
"ASV159",0.01,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",118.5,"Stress Post","ASV159  ( Lachnospiraceae )"
"ASV74",0.01,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,118.5,"Stress Post","ASV74  ( Oscillospiraceae )"
"ASV16",0.00991666666666667,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",120,"Naive Post","ASV16  ( Akkermansiaceae )"
