"OTU","Stress.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Stress.RF.Rank","Enrichment.Stress","ASV.Family"
"ASV60",0.226817912262652,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,17,"Baseline","ASV60  ( Lachnospiraceae )"
"ASV129",0.216305328718409,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",18,"Baseline","ASV129  ( Lachnospiraceae )"
"ASV208",0.210203177339516,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,19,"Baseline","ASV208  ( [Eubacterium] coprostanoligenes group )"
"ASV1",0.207244863409724,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",20,"Baseline","ASV1  ( Lactobacillaceae )"
"ASV59",0.207144672650976,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,21,"3 Wk Stress","ASV59  ( [Eubacterium] coprostanoligenes group )"
"ASV49",0.19758776222749,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",22,"3 Wk Stress","ASV49  ( Lachnospiraceae )"
"ASV100",0.195085361734107,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",23,"3 Wk Stress","ASV100  ( Staphylococcaceae )"
"ASV122",0.190709707587583,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",24,"Baseline","ASV122  ( Peptostreptococcaceae )"
"ASV366",0.181926373456041,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",25,"Baseline","ASV366  ( Oscillospiraceae )"
"ASV96",0.178644356662429,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,26,"3 Wk Stress","ASV96  ( Lachnospiraceae )"
"ASV171",0.17226602582493,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,27,"Baseline","ASV171  ( Lachnospiraceae )"
"ASV207",0.170746493030571,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,28,"3 Wk Stress","ASV207  ( NA )"
"ASV328",0.164815508269979,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,29,"3 Wk Stress","ASV328  ( NA )"
"ASV297",0.163671265381543,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",30,"Baseline","ASV297  ( Clostridiaceae )"
"ASV186",0.158781376427076,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella",31,"Baseline","ASV186  ( Lachnospiraceae )"
"ASV489",0.151947923864921,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",32,"Baseline","ASV489  ( Oscillospiraceae )"
"ASV232",0.150333595518053,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group",33,"3 Wk Stress","ASV232  ( Anaerovoracaceae )"
"ASV103",0.149333581611102,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",34,"3 Wk Stress","ASV103  ( Oscillospiraceae )"
"ASV74",0.145094475845792,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,35,"Baseline","ASV74  ( Oscillospiraceae )"
"ASV70",0.135800789853421,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",36,"3 Wk Stress","ASV70  ( Lachnospiraceae )"
"ASV363",0.130544765339019,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",37,"3 Wk Stress","ASV363  ( Oscillospiraceae )"
"ASV115",0.13036318311088,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,38,"3 Wk Stress","ASV115  ( Lachnospiraceae )"
"ASV288",0.121790714983032,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",39,"3 Wk Stress","ASV288  ( Lachnospiraceae )"
"ASV64",0.110325808352257,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",40,"3 Wk Stress","ASV64  ( Lachnospiraceae )"
"ASV221",0.109376950635327,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,41,"3 Wk Stress","ASV221  ( NA )"
"ASV40",0.104193324489147,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",42,"Baseline","ASV40  ( Ruminococcaceae )"
"ASV274",0.103527152432266,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,43,"3 Wk Stress","ASV274  ( NA )"
"ASV34",0.103336070791953,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",44,"3 Wk Stress","ASV34  ( Lachnospiraceae )"
"ASV269",0.097558325008325,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira",45,"3 Wk Stress","ASV269  ( Oscillospiraceae )"
"ASV284",0.0936062927943043,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,46,"3 Wk Stress","ASV284  ( Lachnospiraceae )"
"ASV285",0.0929122110938597,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",47,"3 Wk Stress","ASV285  ( Lachnospiraceae )"
"ASV170",0.0896440403808438,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,48,"Baseline","ASV170  ( [Eubacterium] coprostanoligenes group )"
"ASV38",0.0831985435539692,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,49,"Baseline","ASV38  ( Muribaculaceae )"
"ASV537",0.0790225978731414,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",50,"3 Wk Stress","ASV537  ( Anaerovoracaceae )"
"ASV321",0.0769319922466594,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",51,"Baseline","ASV321  ( Clostridiaceae )"
"ASV125",0.0731197762978336,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",52,"3 Wk Stress","ASV125  ( Lachnospiraceae )"
"ASV280",0.0728656831817395,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",53,"3 Wk Stress","ASV280  ( Lachnospiraceae )"
"ASV445",0.0703239227528129,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-010",54,"Baseline","ASV445  ( Lachnospiraceae )"
"ASV402",0.070285119518163,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,55,"3 Wk Stress","ASV402  ( NA )"
"ASV349",0.0685394078144078,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,56,"Baseline","ASV349  ( Ruminococcaceae )"
"ASV117",0.0683185064935065,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,57,"3 Wk Stress","ASV117  ( Oscillospiraceae )"
"ASV253",0.0673763436797644,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",58,"3 Wk Stress","ASV253  ( Lachnospiraceae )"
"ASV135",0.0669699152155035,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",59,"Baseline","ASV135  ( Lachnospiraceae )"
"ASV5",0.0649403120112788,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",60,"3 Wk Stress","ASV5  ( Erysipelotrichaceae )"
"ASV433",0.064443663792348,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae",NA,61,"3 Wk Stress","ASV433  ( Christensenellaceae )"
"ASV46",0.0640248349891236,"Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Anaeroplasma",62,"3 Wk Stress","ASV46  ( Acholeplasmataceae )"
"ASV67",0.063766106442577,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",63,"Baseline","ASV67  ( Lachnospiraceae )"
"ASV162",0.0632976245761463,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",64,"Baseline","ASV162  ( Lachnospiraceae )"
"ASV385",0.0619315436318068,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",65,"Baseline","ASV385  ( Oscillospiraceae )"
"ASV191",0.0569804137125344,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",66,"3 Wk Stress","ASV191  ( Lachnospiraceae )"
"ASV468",0.0566385504201681,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-010",67,"3 Wk Stress","ASV468  ( Lachnospiraceae )"
"ASV123",0.0530288813525656,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",68,"3 Wk Stress","ASV123  ( Lachnospiraceae )"
"ASV236",0.0500509947399435,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] brachy group",69,"Baseline","ASV236  ( Anaerovoracaceae )"
"ASV4",0.049540989729225,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,70,"3 Wk Stress","ASV4  ( Muribaculaceae )"
"ASV65",0.0494118448673789,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",71,"Baseline","ASV65  ( Lachnospiraceae )"
"ASV181",0.0489109182269399,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",72,"Baseline","ASV181  ( Oscillospiraceae )"
"ASV286",0.0489029734724377,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,73,"3 Wk Stress","ASV286  ( Lachnospiraceae )"
"ASV464",0.0473335947726613,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",74,"3 Wk Stress","ASV464  ( Eggerthellaceae )"
"ASV234",0.0465848389355742,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,75,"3 Wk Stress","ASV234  ( NA )"
"ASV546",0.0443195454657142,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella",76,"3 Wk Stress","ASV546  ( Lachnospiraceae )"
"ASV313",0.0433475903774588,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",77,"3 Wk Stress","ASV313  ( Oscillospiraceae )"
"ASV310",0.0431769841269841,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,78,"Baseline","ASV310  ( Lachnospiraceae )"
"ASV415",0.0402947398877352,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",79,"Baseline","ASV415  ( Oscillospiraceae )"
"ASV21",0.0386237341090282,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",80,"Baseline","ASV21  ( Oscillospiraceae )"
"ASV270",0.0379189786967419,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,81,"Baseline","ASV270  ( Lachnospiraceae )"
"ASV107",0.0372548024472947,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",82,"Baseline","ASV107  ( Lachnospiraceae )"
"ASV226",0.036597976804757,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",83,"Baseline","ASV226  ( Oscillospiraceae )"
"ASV245",0.0364404761904762,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,84,"3 Wk Stress","ASV245  ( NA )"
"ASV95",0.0351839522224534,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,85,"3 Wk Stress","ASV95  ( NA )"
"ASV227",0.0349397496162697,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,86,"3 Wk Stress","ASV227  ( NA )"
"ASV146",0.0346995124028019,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",87,"3 Wk Stress","ASV146  ( Lachnospiraceae )"
"ASV293",0.0337732050715023,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,88,"3 Wk Stress","ASV293  ( Lachnospiraceae )"
"ASV78",0.033693393516827,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella",89,"3 Wk Stress","ASV78  ( Lachnospiraceae )"
"ASV368",0.0329988056018629,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,90,"3 Wk Stress","ASV368  ( Ruminococcaceae )"
"ASV320",0.0309375257997936,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,91,"Baseline","ASV320  ( Lachnospiraceae )"
"ASV185",0.0304648745861981,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",92,"Baseline","ASV185  ( Lachnospiraceae )"
"ASV189",0.0301544685990338,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus",93,"Baseline","ASV189  ( Butyricicoccaceae )"
"ASV223",0.0292308403361345,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus",94,"Baseline","ASV223  ( Ruminococcaceae )"
"ASV147",0.0291661616161616,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,95,"Baseline","ASV147  ( Lachnospiraceae )"
"ASV308",0.0286050070028011,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",96,"Baseline","ASV308  ( Lachnospiraceae )"
"ASV196",0.0282581660169895,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,97,"3 Wk Stress","ASV196  ( Oscillospiraceae )"
"ASV106",0.028074582330145,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",98,"3 Wk Stress","ASV106  ( Ruminococcaceae )"
"ASV101",0.0280266414141414,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",99,"3 Wk Stress","ASV101  ( Oscillospiraceae )"
"ASV237",0.0266513213180009,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,100,"3 Wk Stress","ASV237  ( NA )"
"ASV200",0.0263313092878091,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,101,"Baseline","ASV200  ( Lachnospiraceae )"
"ASV510",0.0258951355661882,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Parvibacter",102,"3 Wk Stress","ASV510  ( Eggerthellaceae )"
"ASV63",0.0248569020032255,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",103,"3 Wk Stress","ASV63  ( Lachnospiraceae )"
"ASV761",0.0247607717445953,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,104,"3 Wk Stress","ASV761  ( NA )"
"ASV113",0.024298791463954,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",105,"3 Wk Stress","ASV113  ( Lachnospiraceae )"
"ASV203",0.0241922305764411,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,106,"3 Wk Stress","ASV203  ( Lachnospiraceae )"
"ASV465",0.0236038043478261,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,107,"Baseline","ASV465  ( Oscillospiraceae )"
"ASV45",0.0225176045316912,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",108,"Baseline","ASV45  ( Lachnospiraceae )"
"ASV54",0.0224875939849624,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",109,"3 Wk Stress","ASV54  ( Lachnospiraceae )"
"ASV110",0.0219465811965812,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",110,"3 Wk Stress","ASV110  ( Lachnospiraceae )"
"ASV230",0.0217071348242401,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,111,"Baseline","ASV230  ( Lachnospiraceae )"
"ASV137",0.0216917943898207,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,112,"3 Wk Stress","ASV137  ( Oscillospiraceae )"
"ASV136",0.0205102272727273,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,113,"3 Wk Stress","ASV136  ( Lachnospiraceae )"
"ASV180",0.0202429511278195,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,114,"3 Wk Stress","ASV180  ( Ruminococcaceae )"
"ASV91",0.0195976448474127,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,115,"3 Wk Stress","ASV91  ( Lachnospiraceae )"
"ASV420",0.0195047619047619,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",116,"Baseline","ASV420  ( Oscillospiraceae )"
"ASV43",0.0194018796992481,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,117,"Baseline","ASV43  ( Lachnospiraceae )"
"ASV26",0.0193663406691348,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",118,"3 Wk Stress","ASV26  ( Lachnospiraceae )"
"ASV133",0.0193252958902272,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",119,"Baseline","ASV133  ( Lachnospiraceae )"
"ASV19",0.0186393068887634,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",120,"3 Wk Stress","ASV19  ( Oscillospiraceae )"
"ASV79",0.0183723938050254,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,121,"Baseline","ASV79  ( Lachnospiraceae )"
"ASV388",0.0182944669494592,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",122,"3 Wk Stress","ASV388  ( Anaerovoracaceae )"
"ASV152",0.0178772570424744,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,123,"Baseline","ASV152  ( Lachnospiraceae )"
"ASV193",0.0177223616167115,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",124,"3 Wk Stress","ASV193  ( Lachnospiraceae )"
"ASV98",0.0176104320516085,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",125,"Baseline","ASV98  ( Lachnospiraceae )"
"ASV61",0.0175663476501712,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",126,"3 Wk Stress","ASV61  ( Lachnospiraceae )"
"ASV544",0.0175184178743961,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,127,"3 Wk Stress","ASV544  ( NA )"
"ASV323",0.0173110275689223,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,128,"3 Wk Stress","ASV323  ( Lachnospiraceae )"
"ASV68",0.0171926916221034,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,129,"Baseline","ASV68  ( Lachnospiraceae )"
"ASV260",0.0169002100840336,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium] siraeum group",130,"Baseline","ASV260  ( Ruminococcaceae )"
"ASV267",0.0168596790890269,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,131,"3 Wk Stress","ASV267  ( Lachnospiraceae )"
"ASV205",0.0167333333333333,"Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",132,"Baseline","ASV205  ( Monoglobaceae )"
"ASV244",0.0162258570248121,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",133,"3 Wk Stress","ASV244  ( Lachnospiraceae )"
"ASV474",0.0156877923976608,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,134,"3 Wk Stress","ASV474  ( NA )"
"ASV81",0.0155804367201426,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",135,"3 Wk Stress","ASV81  ( Lachnospiraceae )"
"ASV424",0.0152858044733045,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",136,"Baseline","ASV424  ( Oscillospiraceae )"
"ASV555",0.0152107661215633,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,137,"Baseline","ASV555  ( NA )"
"ASV500",0.0151269686144609,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",138,"3 Wk Stress","ASV500  ( Lachnospiraceae )"
"ASV281",0.0151064182194617,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",139,"Baseline","ASV281  ( Oscillospiraceae )"
"ASV82",0.0149848178137652,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",140,"3 Wk Stress","ASV82  ( Lachnospiraceae )"
"ASV299",0.0148485067873303,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,141,"Baseline","ASV299  ( Lachnospiraceae )"
"ASV229",0.0145222222222222,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,142,"Baseline","ASV229  ( Lachnospiraceae )"
"ASV23",0.0144372294372294,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",143,"Baseline","ASV23  ( Ruminococcaceae )"
"ASV134",0.0144358769283692,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",144,"Baseline","ASV134  ( Lachnospiraceae )"
"ASV66",0.0142890974967062,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,145,"Baseline","ASV66  ( Lachnospiraceae )"
"ASV295",0.0142135822510823,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",146,"3 Wk Stress","ASV295  ( Oscillospiraceae )"
"ASV344",0.0140853937728938,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,147,"3 Wk Stress","ASV344  ( NA )"
"ASV231",0.0140796433958199,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",148,"Baseline","ASV231  ( Lachnospiraceae )"
"ASV287",0.0140190476190476,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,149,"3 Wk Stress","ASV287  ( Lachnospiraceae )"
"ASV116",0.0139977467707731,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",150,"Baseline","ASV116  ( Lachnospiraceae )"
"ASV485",0.0137385559486953,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus",151,"Baseline","ASV485  ( Ruminococcaceae )"
"ASV118",0.0134702380952381,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,152,"Baseline","ASV118  ( Lachnospiraceae )"
"ASV440",0.0134388888888889,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,153,"3 Wk Stress","ASV440  ( NA )"
"ASV132",0.0132899749373434,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",154,"3 Wk Stress","ASV132  ( Lachnospiraceae )"
"ASV252",0.0131925289751528,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,155,"Baseline","ASV252  ( NA )"
"ASV497",0.0131585434173669,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] brachy group",156,"Baseline","ASV497  ( Anaerovoracaceae )"
